,cityname,pname,Mix,Shape_Length,Shape_Area,citynameUP,prUP
291,五指山市,海南省,0.666267889623526,1.726486350061083,0.098040607508104,WZ,HN
292,武汉市,湖北省,0.6397030467731,7.077969482444575,0.806980875931323,WH,HB
293,武威市,甘肃省,0.600865990255232,15.62091831805235,3.349264895874456,WW,GS
294,西安市,陕西省,0.637691913029859,6.942060697590585,0.987197842533977,XA,SX
295,西宁市,青海省,0.582980136332877,5.35817810465312,0.764040905413005,XN,QH
296,西双版纳傣族自治州,云南省,0.616569006279075,8.133346482752797,1.664691352399927,XS,YN
297,锡林郭勒盟,内蒙古自治区,0.666915289313372,32.21576142350948,22.509237089213048,XL,NM
298,仙桃市,湖北省,0.592625202030507,3.146511095990268,0.236248990805449,XT,HB
299,咸宁市,湖北省,0.639030363269724,6.770195973566207,0.909045117380574,XN,HB
300,咸阳市,陕西省,0.612374717935289,7.347448318218045,1.016239174372725,XY,SX
301,香港特别行政区,香港特别行政区,0.0,6.552941179240433,0.09736827184523,XG,XG
302,湘潭市,湖南省,0.610347253092025,5.424481492045341,0.45811232081539,XT,HN
303,湘西土家族苗族自治州,湖南省,0.693632807596159,8.970693428211012,1.428619139676414,XX,HN
304,襄阳市,湖北省,0.599804949185025,10.130195317901409,1.881470010325405,XY,HB
305,孝感市,湖北省,0.688489899346105,7.722265105114976,0.842861015349776,XG,HB
306,忻州市,山西省,0.555623441011168,10.730997870154498,2.61076019920367,XZ,SX
307,新乡市,河南省,0.592771400129617,6.338665867761086,0.819877299117922,XX,HN
308,新余市,江西省,0.562448323591631,3.673079531556371,0.289409404650178,XY,JX
309,信阳市,河南省,0.561700947974738,10.194873862829256,1.806663744382789,XY,HN
310,邢台市,河北省,0.582922618826047,7.967556606354715,1.263015520411446,XT,HB
311,兴安盟,内蒙古自治区,0.729902968799731,20.38861261440857,6.438426676014291,XA,NM
312,许昌市,河南省,0.598727679064676,4.915542991967417,0.486844167998564,XC,HN
313,宣城市,安徽省,0.593179662798334,8.461707189420949,1.159114118079449,XC,AH
